id_associado;nome;sobrenome;idade;email;sit_associado;sit_inadimplente;data_primeira_compra;data_ultima_compra;qt_meses_compras;data_encerramento_conta;dia_ult_compra;mes_ult_compra;vlr_total_compras;qtd_compras;vlr_medio_compras;qtd_dias_atraso_pgto
168;Joaquim;Cavalcanti;31;joaquim.cavalcanti@terra.com.br;Sim;Não;2019-08-22;2022-03-13;31;"";284;9;55846,50;190;293,93;0
169;Lorenzo;Jesus;31;lorenzo.jesus@uol.com.br;Sim;Não;2019-03-29;2022-10-29;43;"";54;1;75541,06;266;283,99;0
170;Marcos;Vinicius;70;marcos.vinicius@gmail.com;Sim;Não;2022-06-15;2022-12-18;6;"";4;0;13565,53;46;294,90;0
171;João;Guilherme;20;joão.guilherme@yahoo.com.br;Sim;Não;2020-05-04;2022-11-29;31;"";23;0;26544,55;163;162,85;0
172;Thales;Silva;59;thales.silva@uol.com.br;Sim;Não;2019-09-11;2022-12-21;39;"";1;0;70858,97;253;280,07;0
173;Helena;Novaes;53;helena.novaes@uol.com.br;Sim;Não;2022-06-28;2022-12-21;5;"";1;0;15120,66;48;315,01;0
174;Igor;Teixeira;59;igor.teixeira@yahoo.com.br;Sim;Não;2021-04-07;2022-12-12;20;"";10;0;36132,36;126;286,76;0
175;Marcos;Vinicius;47;marcos.vinicius@hotmail.com;Sim;Não;2019-01-18;2022-12-15;47;"";7;0;88613,88;306;289,59;0
176;Alexia;Cardoso;31;alexia.cardoso@terra.com.br;Sim;Não;2018-03-07;2022-08-08;53;"";136;4;102357,42;355;288,33;0
177;Lorenzo;Silveira;40;lorenzo.silveira@hotmail.com;Sim;Não;2019-11-23;2022-12-22;37;"";0;0;70024,50;241;290,56;0
178;Daniel;Silveira;29;daniel.silveira@gmail.com;Sim;Não;2020-09-27;2022-04-26;19;"";240;8;17712,31;109;162,50;0
179;Maria;Luiza;68;maria.luiza@terra.com.br;Sim;Não;2018-10-19;2022-09-09;47;"";104;3;77360,74;284;272,40;0
180;Levi;Carvalho;21;levi.carvalho@gmail.com;Sim;Sim;2019-10-23;2022-12-18;38;"";4;0;33692,97;202;166,80;64
181;Yuri;Santos;37;yuri.santos@gmail.com;Sim;Não;2021-12-07;2022-12-20;12;"";2;0;23515,45;90;261,28;0
182;Raul;Moreira;23;raul.moreira@gmail.com;Sim;Não;2021-10-02;2022-11-13;13;"";39;1;10084,92;64;157,58;0
183;Clara;Barros;35;clara.barros@gmail.com;Não;Não;2018-12-19;2021-12-26;36;2022-12-15;354;11;67491,50;226;298,63;0
184;Vitória;Novaes;24;vitória.novaes@yahoo.com.br;Sim;Sim;2019-03-10;2022-12-22;46;"";0;0;38489,72;233;165,19;4
185;Emilly;Barros;72;emilly.barros@hotmail.com;Sim;Não;2021-12-15;2022-12-19;12;"";3;0;24894,46;82;303,59;0
186;Emilly;Rosa;69;emilly.rosa@terra.com.br;Sim;Não;2019-07-04;2022-12-10;41;"";12;0;77879,47;277;281,15;0
187;Srta.;Fernanda;44;srta..fernanda@uol.com.br;Sim;Não;2019-08-20;2022-12-19;40;"";3;0;70518,07;251;280,95;0
188;Milena;Porto;52;milena.porto@hotmail.com;Sim;Não;2018-07-13;2022-12-21;54;"";1;0;99417,20;366;271,63;0
189;Bruno;Rocha;39;bruno.rocha@gmail.com;Sim;Não;2019-11-19;2022-12-22;37;"";0;0;64476,55;227;284,04;0
190;Rafael;Rezende;49;rafael.rezende@terra.com.br;Sim;Não;2018-11-18;2022-12-20;49;"";2;0;89481,80;310;288,65;0
191;Maria;Julia;44;maria.julia@uol.com.br;Sim;Não;2022-03-04;2022-12-22;9;"";0;0;18387,82;62;296,58;0
192;Maria;Clara;66;maria.clara@terra.com.br;Sim;Não;2021-04-08;2022-12-22;20;"";0;0;38839,69;130;298,77;0
193;Diego;Cardoso;63;diego.cardoso@hotmail.com;Sim;Não;2020-12-11;2022-12-20;24;"";2;0;41292,71;152;271,66;0
194;Sarah;Rezende;23;sarah.rezende@uol.com.br;Não;Não;2019-01-10;2021-09-27;33;2022-08-18;325;10;23168,61;128;181,00;0
195;João;Correia;65;joão.correia@hotmail.com;Sim;Não;2018-01-28;2022-12-19;59;"";3;0;104241,50;369;282,50;0
196;Luiz;Miguel;67;luiz.miguel@hotmail.com;Sim;Não;2022-09-26;2022-12-12;2;"";10;0;4972,83;15;331,52;0
197;Marina;Nogueira;47;marina.nogueira@terra.com.br;Sim;Não;2020-01-06;2022-12-17;35;"";5;0;61022,42;219;278,64;0
